License_ID;License_Name;License_Type;Exp_Date;User_Terms
1;Silver Pass;Персональная;2026.06.30;Нет передачи третьим лицам
2;Edu Explorer;Учебная;2025.12.31;Только для учебы
3;Enterprise Vault;Корпоративная;2027.01.01;Только для сотрудников компании
4;Creative Spark;Дизайнерская;2026.05.20;Разрешено для творческих проектов
5;QuickStart Trial;Пробная;2025.03.15;30 дней бесплатно
6;Admin Pro;Администрирование;2028.09.14;Только для специалистов
7;Marketing Impact;Маркетинговая;2026.08.08;Использование в отделе маркетинга
8;Tech Support Essential;ИТ-поддержка;2027.02.28;Для внутренних нужд компании
9;Student Journey;Студенческая;2025.10.01;Для студентов учебных заведений
10;Insight Analyst;Аналитическая;2027.12.31;Для аналитиков
