Product_ID;Product_Name;Product_Unit;Product_InWarehouse;Product_Price;Product_Description
1;Коврик для мыши;шт;300;350.00;Игровой, резиновое основание
2;Клавиатура механическая;шт;120;4500.00;Подсветка RGB
3;Инструмент;шт;80;1500.00;Набор отверток
4;Монитор 24";шт;60;12000.00;IPS, 75 Гц
5;Наушники;шт;200;2500.00;Проводные, накладные
6;Мышь беспроводная;шт;180;1900.00;2.4 ГГц, USB-ресивер
7;Коврик для мыши XL;шт;90;650.00;Большой игровой коврик
8;Инструмент профессиональный;шт;40;5200.00;Набор ключей
9;Монитор 27";шт;35;21000.00;IPS, 144 Гц
10;Колонки;шт;75;3200.00;2.1, сабвуфер
