Supply_ID;Supplier_ID;Product_ID;Supply_Amount;Supply_Deadline
1;1;1;52;15.03.2024
2;1;1;62;15.06.2025
3;1;2;54;02.03.2024
4;1;2;64;02.06.2025
5;1;3;56;03.03.2024
6;1;3;66;03.06.2025
7;1;4;58;04.03.2024
8;1;4;68;04.06.2025
9;1;5;60;05.03.2024
10;1;5;70;05.06.2025
11;1;6;62;06.03.2024
12;1;6;72;06.06.2025
13;1;7;64;07.03.2024
14;1;7;74;07.06.2025
15;1;8;66;08.03.2024
16;1;8;76;08.06.2025
17;1;9;68;09.03.2024
18;1;9;78;09.06.2025
19;1;10;70;10.03.2024
20;1;10;80;10.06.2025
21;2;1;80;10.04.2024
22;2;1;90;15.05.2025
23;3;1;70;05.09.2025
24;4;1;40;20.02.2024
25;5;1;55;11.11.2025
26;2;3;30;12.01.2024
27;2;3;50;09.10.2025
28;3;3;20;22.07.2024
29;3;3;45;14.03.2025
30;2;2;25;04.02.2024
31;2;4;25;04.04.2024
32;2;6;25;04.06.2024
33;2;8;25;04.08.2024
34;2;10;25;04.10.2024
35;3;3;30;03.03.2025
36;3;6;30;06.08.2025
37;3;9;30;09.08.2025
38;4;4;35;04.04.2024
39;4;8;35;08.04.2024
40;4;10;35;10.04.2024
41;5;5;40;05.05.2025
42;5;10;40;10.05.2025
43;6;6;20;06.10.2024
44;6;8;20;08.10.2024
45;6;10;20;10.10.2024
46;7;7;22;07.12.2025
47;7;10;22;10.12.2025
