Код Заказа;Код Продавца;Код Покупателя;Код Книги;Дата отправки;Дата получения;Количество
1;1;1;1;10.01.2018 10:00;15.01.2018 12:00;2
2;1;2;2;12.02.2018 11:30;18.02.2018 16:20;1
3;1;3;3;20.03.2018 09:15;27.03.2018 14:10;3
4;1;4;4;05.04.2018 13:40;12.04.2018 10:00;1
5;1;5;5;18.05.2018 16:05;25.05.2018 11:30;2
6;2;1;6;07.06.2018 09:20;14.06.2018 15:45;1
7;2;2;7;19.07.2018 10:10;26.07.2018 13:55;2
8;2;3;8;23.08.2018 14:30;30.08.2018 10:25;1
9;2;4;9;14.09.2018 11:50;21.09.2018 12:40;2
10;2;5;10;03.10.2018 12:15;10.10.2018 09:35;1
11;3;6;4;15.01.2018 09:00;22.01.2018 11:00;1
12;3;7;5;28.02.2018 10:30;07.03.2018 14:00;2
13;3;8;15;09.03.2018 15:10;16.03.2018 13:20;1
14;3;9;20;22.04.2018 08:45;29.04.2018 17:10;3
15;3;10;11;30.05.2018 16:25;06.06.2018 12:00;1
16;4;6;12;11.06.2018 09:35;18.06.2018 10:50;2
17;4;7;13;24.07.2018 13:15;31.07.2018 16:30;1
18;4;8;14;06.08.2018 10:05;13.08.2018 11:45;2
19;4;9;16;17.09.2018 11:20;24.09.2018 15:15;1
20;4;10;17;29.10.2018 14:40;05.11.2018 09:10;2
21;5;11;4;05.01.2018 09:10;12.01.2018 10:00;1
22;5;11;5;18.02.2018 12:20;25.02.2018 11:30;1
23;5;12;4;03.03.2018 08:30;10.03.2018 09:45;2
24;5;12;5;21.04.2018 15:00;28.04.2018 13:10;1
25;5;13;4;09.05.2018 09:50;16.05.2018 12:20;3
26;5;13;5;27.06.2018 11:15;04.07.2018 14:30;2
27;5;14;4;14.07.2018 10:25;21.07.2018 15:40;1
28;5;14;5;22.08.2018 13:05;29.08.2018 10:55;2
29;5;15;4;08.09.2018 09:35;15.09.2018 11:15;1
30;5;15;5;19.10.2018 16:45;26.10.2018 12:05;2
31;1;11;1;02.11.2018 09:00;09.11.2018 10:10;1
32;2;12;2;13.11.2018 11:40;20.11.2018 12:20;1
33;3;13;3;24.11.2018 15:30;01.12.2018 09:55;2
34;4;14;6;05.12.2018 10:20;12.12.2018 14:05;1
35;1;15;7;17.12.2018 13:10;24.12.2018 16:25;3
36;2;16;18;10.03.2017 10:00;17.03.2017 11:00;1
37;3;17;19;22.06.2019 12:10;29.06.2019 13:15;2
38;4;18;8;14.09.2017 09:20;21.09.2017 10:30;1
39;5;19;12;03.05.2019 14:30;10.05.2019 15:40;1
40;1;20;13;27.11.2016 11:50;04.12.2016 12:55;1
