Код Книги;Автор;Название;Издательство;Серия;Год Издания;Цена
1;Иванов И.И.;Основы программирования;Диалектика;Учебник;2018;500
2;Петров П.П.;Продвинутый SQL;Диалектика;Профессионал;2018;650
3;Сидоров С.С.;Алгоритмы на C#;Диалектика;Учебник;2018;700
4;Кузнецов К.К.;Базы данных;Диалектика;Нет;2018;550
5;Алексеев А.А.;Сети и протоколы;Диалектика;Нет;2018;600
6;Борисов Б.Б.;Python для начинающих;Питер;Самоучитель;2018;450
7;Николаев Н.Н.;Администрирование Windows;Питер;Практикум;2018;700
8;Смирнов С.С.;Linux для всех;Эксмо;Практикум;2017;400
9;Фёдоров Ф.Ф.;Компьютерные сети;Эксмо;Учебник;2019;650
10;Громов Г.Г.;Архитектура ЭВМ;Диалектика;Учебник;2018;620
11;Данилов Д.Д.;SQL справочник;Диалектика;Нет;2017;500
12;Егоров Е.Е.;Docker на практике;Питер;Практикум;2019;750
13;Жуков Ж.Ж.;Git и GitHub;Эксмо;Самоучитель;2018;430
14;Зайцев З.З.;Микросервисы;Диалектика;Профессионал;2018;800
15;Ильин И.И.;NoSQL системы;Диалектика;Нет;2018;680
16;Князев К.К.;Введение в ИТ;Диалектика;Учебник;2016;350
17;Лебедев Л.Л.;C# для студентов;Диалектика;Учебник;2018;500
18;Морозов М.М.;PHP и MySQL;Эксмо;Нет;2018;470
19;Орлов О.О.;Интернет вещей;Диалектика;Профессионал;2018;900
20;Павлов П.П.;Безопасность сетей;Диалектика;Нет;2018;720
