Book_ID;Writer;Book_Name;Publication_Date;Price;Amount;Annotation
1;Пушкин А.С.;Сон дракона;17.05.1992;1048,97;30;Семейная сага.
2;Лермонтов М.Ю.;Песнь ветра;05.09.2003;671,4;30;Детективная история.
3;Достоевский Ф.М.;Море звёзд;24.02.2009;286,42;30;Исторический роман.
4;Лермонтов М.Ю.;Тайна замка;11.07.2012;1280,14;30;Психологическая драма.
5;Лермонтов М.Ю.;Лунный сад;02.05.2023;1639,3;30;Приключенческий роман.
6;Петров П.П.;Скрытый мир;16.10.1990;1681,92;11;Психологическая драма.
7;Булгаков М.А.;Огненный путь;08.10.2002;591,44;5;Юмористический рассказ.
8;Петров П.П.;Огненный путь;16.09.2010;351,76;18;Семейная сага.
9;Петров П.П.;Сердце времени;26.04.2024;1265,89;19;Семейная сага.
10;Лермонтов М.Ю.;Огненный путь;19.06.2014;1200;6;Психологическая драма.
11;Сидоров С.С.;Зимний рассвет;03.08.2006;1250;25;Фантастическое путешествие.
12;Сидоров С.С.;Зимний рассвет;27.12.1995;1300;13;Семейная сага.
13;Толстой Л.Н.;Город туманов;09.10.2016;1350;22;Исторический роман.
14;Петров П.П.;Тень прошлого;09.09.1997;1400;25;Психологическая драма.
15;Булгаков М.А.;Книга судеб;07.06.1994;1450;24;Фантастическое путешествие.
16;Булгаков М.А.;Последний герой;13.01.2011;1500;30;Приключенческий роман.
17;Булгаков М.А.;Тайна замка;24.01.2015;1550;9;Детективная история.
18;Пушкин А.С.;Дорога домой;16.05.2007;1600;19;Философское произведение.
19;Сидоров С.С.;Скрытый мир;08.02.1998;1650;19;Исторический роман.
20;Лермонтов М.Ю.;Ночная стража;25.06.2000;1700;18;Фантастическое путешествие.
