Ticket_ID;Book_ID;Reader_ID;Issue_Date;Return_Date
1;9;3;31.08.2023;12.10.2023
2;12;2;20.11.2024;14.01.2025
4;18;6;21.01.2022;
6;20;11;09.10.2022;06.12.2022
7;15;11;10.06.2022;15.07.2022
8;6;4;08.02.2022;09.02.2022
10;12;12;10.07.2020;19.08.2020
12;10;6;19.03.2022;
16;10;7;10.08.2020;08.10.2020
17;16;8;21.11.2021;
18;11;2;08.09.2022;10.10.2022
19;14;1;10.09.2021;24.10.2021
22;8;1;27.02.2022;25.03.2022
23;18;9;16.08.2021;17.09.2021
24;19;12;23.10.2023;29.10.2023
25;12;4;18.06.2021;29.06.2021
26;14;4;04.01.2022;26.02.2022
28;7;2;15.10.2022;29.10.2022
30;7;8;13.02.2022;07.04.2022
31;7;1;25.05.2025;
32;8;2;24.05.2025;
33;9;3;23.05.2025;
34;10;4;22.05.2025;
35;11;5;21.05.2025;
36;10;1;10.03.2024;20.03.2024
37;10;2;25.03.2024;04.04.2024
38;10;3;05.04.2024;15.04.2024
39;10;4;20.04.2024;30.04.2024
40;10;5;01.05.2024;11.05.2024
41;10;6;15.05.2024;25.05.2024
42;10;1;22.11.2025;
43;11;2;21.11.2025;
44;12;3;20.11.2025;
45;13;4;19.11.2025;
46;14;5;18.11.2025;
47;11;1;20.04.2025;
48;12;2;21.04.2025;
49;13;3;22.04.2025;
50;14;4;23.04.2025;
51;15;5;24.04.2025;
52;10;2;10.07.2025;
53;10;3;11.07.2025;
54;10;4;12.07.2025;
55;10;5;13.07.2025;
56;10;6;14.07.2025;
57;11;2;01.06.2025;
58;12;3;02.06.2025;
59;13;4;03.06.2025;
60;14;5;04.06.2025;
61;15;1;05.06.2025;
62;11;3;10.03.2025;
63;12;4;11.03.2025;
64;13;5;12.03.2025;
65;14;1;13.03.2025;
66;15;2;14.03.2025;
67;10;7;01.04.2025;
68;10;8;02.04.2025;
69;10;9;03.04.2025;
70;10;10;04.04.2025;
71;10;11;05.04.2025;
72;11;6;01.05.2025;
73;12;7;02.05.2025;
74;13;8;03.05.2025;
75;14;9;04.05.2025;
76;15;10;05.05.2025;
77;6;1;20.05.2025;
78;6;2;21.05.2025;
79;6;3;22.05.2025;
80;6;4;23.05.2025;
81;6;5;24.05.2025;
