ID_партии;ID_Товара;ID_Реализатора;Количество;Стоимость_руб
1;1;1;10;450000
2;2;1;5;750000
3;3;2;8;520000
4;4;3;3;690000
5;5;4;6;360000
6;6;2;4;640000
7;7;1;7;910000
8;8;5;5;430000
9;9;1;4;320000
10;10;1;6;880000
11;11;1;5;770000
12;12;2;3;410000
13;13;2;2;300000
14;14;3;4;350000
15;15;3;5;600000
16;16;4;3;390000
17;17;5;2;420000
18;18;6;4;510000
19;19;7;3;470000
20;20;1;2;500000
21;21;1;3;540000
22;22;2;5;450000
23;23;3;4;380000
24;24;4;2;260000
25;25;5;3;340000
26;31;1;3;450000
27;32;1;2;520000
28;33;2;4;430000
29;34;2;1;620000
30;35;3;5;580000
