ID_Товара;ID_Изготовителя;ID_модели;Дата_изготовления
1;1;1;2024-01-15
2;1;2;2024-09-10
3;1;3;2023-11-05
4;1;4;2025-03-20
5;2;5;2022-12-01
6;3;6;2024-05-18
7;4;7;2025-01-22
8;5;3;2024-07-09
9;1;13;2025-03-20
10;1;14;2025-03-20
11;1;15;2025-03-20
12;2;1;2024-11-30
13;2;7;2024-10-05
14;3;5;2023-09-12
15;4;8;2024-06-25
16;5;9;2024-08-14
17;6;10;2024-09-30
18;7;11;2024-10-20
19;8;12;2024-11-10
20;9;4;2024-12-05
21;10;6;2024-12-15
22;2;2;2023-05-17
23;3;7;2023-07-03
24;4;1;2023-03-11
25;5;2;2023-08-19
26;1;21;2025-01-10
27;1;22;2025-01-12
28;1;23;2025-01-15
29;2;24;2025-01-18
30;2;25;2025-01-20
