Код Заказа;Код Продавца;Код Покупателя;Код Книги;Дата Отправки;Дата Получения;Количество
1;3;1;2;28.11.2023;02.12.2023;5
2;5;5;11;06.01.2023;12.01.2023;2
3;3;4;4;02.10.2023;08.10.2023;4
4;3;1;1;15.06.2023;27.06.2023;3
5;1;5;3;07.08.2023;21.08.2023;1
6;3;3;12;07.04.2023;12.04.2023;3
7;3;2;1;13.03.2023;21.03.2023;3
8;4;1;7;29.11.2023;11.12.2023;5
9;2;5;3;04.01.2023;16.01.2023;4
10;1;3;13;21.03.2023;02.04.2023;3
11;3;5;2;22.01.2023;05.02.2023;2
12;2;3;13;06.05.2023;16.05.2023;5
13;1;3;8;15.02.2023;28.02.2023;2
14;5;4;11;25.10.2023;06.11.2023;1
15;4;5;4;01.12.2023;14.12.2023;1
16;3;5;2;08.10.2023;16.10.2023;5
17;4;3;10;27.01.2023;02.02.2023;5
18;3;1;13;28.09.2023;06.10.2023;2
19;3;3;12;28.02.2023;14.03.2023;4
20;5;1;1;29.08.2023;02.09.2023;2
