Код Книги;Автор;Название;Издательство;Серия;Год Издания;Цена
1;А. Петров;Теория систем;Диалектика;Современная наука;2018;1200
2;Н. Иванова;Практика анализа;Диалектика;Бизнес и финансы;2018;1500
3;В. Смирнов;Анализ Методика;Диалектика;Современная наука;2018;1531
4;Д. Коваленко;История Теория;АСТ;Современная наука;2014;1225
5;А. Петров;Методика История;Диалектика;Бизнес и финансы;2018;1839
6;Н. Иванова;Развитие Разработка;АСТ;Современная наука;2018;1714
7;В. Смирнов;Разработка Методика;Диалектика;Бизнес и финансы;2018;1973
8;Д. Коваленко;Обзор Теория;АСТ;Бизнес и финансы;2021;686
9;А. Петров;Теория Методика;Диалектика;Бизнес и финансы;2018;1691
10;Н. Иванова;Практика Анализ;Диалектика;Современная наука;2018;855
11;В. Смирнов;Анализ Разработка;Диалектика;Лучшие романы;2021;1359
12;Д. Коваленко;История Анализ;Просвещение;Современная наука;2020;1164
13;А. Петров;Методика Практика;Диалектика;Лучшие романы;2012;1805
14;Н. Иванова;Развитие Развитие;АСТ;Бизнес и финансы;2018;747
15;В. Смирнов;Разработка История;АСТ;Современная наука;2018;502
