connection_id;subscriber_id;phone_number_id;has_blocker;debt
1;1;1;True;1200.0
2;2;2;True;1500.0
3;3;3;True;1202.0
4;4;4;True;1502.0
5;5;5;True;1204.0
6;6;6;True;1504.0
7;7;7;True;1206.0
8;8;8;True;1506.0
9;9;9;True;1208.0
10;10;10;True;1508.0
11;11;11;True;1210.0
12;12;12;True;1510.0
13;10;13;False;0.0
14;3;13;False;600.0
15;11;13;False;0.0
16;6;14;False;600.0
17;8;14;False;600.0
18;10;14;False;600.0
19;11;15;False;600.0
20;4;15;False;200.0
21;8;15;False;0.0
22;3;16;False;600.0
23;8;16;False;0.0
24;12;16;False;600.0
25;1;17;False;600.0
26;4;17;False;0.0
27;5;17;False;600.0
28;1;18;False;500.0
29;2;18;False;2000.0
30;1;19;False;500.0
31;2;19;False;2000.0
32;1;20;False;500.0
33;2;20;False;2000.0
34;1;21;False;500.0
35;2;21;False;2000.0
36;1;22;False;500.0
37;2;22;False;2000.0
