phone_number_id;subscriber_number;installation_date;ats_id;paired_phone_number_id;is_group_use
1;10001;01.01.25;1;2;False
2;10002;01.01.25;1;1;False
3;10003;02.01.25;1;4;False
4;10004;02.01.25;1;3;False
5;10005;03.01.25;1;6;False
6;10006;03.01.25;1;5;False
7;10007;04.01.25;3;8;False
8;10008;04.01.25;3;7;False
9;10009;05.01.25;3;10;False
10;10010;05.01.25;3;9;False
11;10011;06.01.25;3;12;False
12;10012;06.01.25;3;11;False
13;20001;10.02.25;2;None;True
14;20002;11.02.25;2;None;True
15;20003;12.02.25;2;None;True
16;20004;13.02.25;4;None;True
17;20005;14.02.25;4;None;True
18;30001;20.03.25;1;None;False
19;30002;21.03.25;1;None;False
20;30003;22.03.25;1;None;False
21;30004;23.03.25;1;None;False
22;30005;24.03.25;1;None;False
