Fossil_ID;Deposit_ID;Reserves_Quantity;Reserves_Production;Reserves_UnitCost
1;2;2500000;500000;1200,00
1;9;1500000;300000;1100,00
1;10;1000000;200000;1150,00
1;7;800000;180000;1300,00
7;2;1200000;250000;1000,00
7;9;900000;200000;1050,00
7;10;700000;150000;1100,00
7;7;600000;120000;1150,00
8;2;800000;160000;1300,00
8;9;600000;120000;1350,00
8;7;500000;100000;1400,00
2;5;4000000;400000;2800,50
2;1;2500000;200000;3000,00
2;7;1000000;150000;2900,00
3;3;900000;90000;9000,00
3;7;700000;80000;8500,00
4;4;3000;350;2500000,00
4;7;2000;250;2700000,00
5;3;2000000;250000;2100,00
5;7;700000;90000;2600,00
6;6;3500000;320000;1100,50
6;5;1200000;100000;1300,00
6;7;800000;90000;1400,00
9;4;500;60;300000,00
9;7;400;50;380000,00
